src_ip,dst_ip,src_mac,dst_mac,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.0.1,10.0.0.2,00:00:00:00:00:01,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:51,7660367.012023926,718.5034334987826,2.0886727717987865,0.5221681929496966,1.5665045788490897,4,12,392,5112,98.0,98.0,98.0,0.0,590.0,98.0,426.0,231.93102422918759,590,98,344.0,246.0,60516.0,0,96,8,4,546812.1256147112,3836377.8591156006,-2479.076385498047,1027686.5301051938,7657848.834991455,3836400.032043457,994542.8371429443,2552616.278330485,1176283.4702409464,7660367.012023926,3836416.9597625732,13976.097106933594,696397.0010930841,1113463.560702454,0,0,0,0,0,0,0,0,0,0,0,3.0,344.0,0,0,1722583.7707519531,2479.076385498047,533799.8867034912,694177.5349921217,3836355.686187744,13976.097106933594,853082.4865613665,1261342.849571199,0.0,0.0,3336.0,6.0,0.0,4843.325600690905,98.0,426.0,0,4,12,392,5112
10.0.0.1,10.0.0.2,00:00:00:00:00:01,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:51,7660367.012023926,718.5034334987826,2.0886727717987865,0.5221681929496966,1.5665045788490897,4,12,392,5112,98.0,98.0,98.0,0.0,590.0,98.0,426.0,231.93102422918759,590,98,344.0,246.0,60516.0,0,96,8,4,510360.590616862,3836377.8591156006,-2479.076385498047,1002163.8084003375,7657848.834991455,3836400.032043457,994542.8371429443,2552616.278330485,1176283.4702409464,7660367.012023926,3836416.9597625732,13976.097106933594,696397.0010930841,1113463.560702454,0,0,0,0,0,0,0,0,0,0,0,3.0,344.0,0,0,1722583.7707519531,2479.076385498047,533799.8867034912,694177.5349921217,3836355.686187744,13976.097106933594,853082.4865613665,1261342.849571199,0.0,0.0,3336.0,6.0,0.0,4843.325600690905,98.0,426.0,0,4,12,392,5112
10.0.0.1,10.0.0.2,00:00:00:00:00:01,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:51,8662749.05204773,646.6769343475072,1.9624255415757985,0.5771839828164113,1.3852415587593871,5,12,490,5112,98.0,98.0,98.0,0.0,590.0,98.0,400.7692307692308,239.3600936619758,590,98,316.6666666666667,244.476765539977,59768.88888888889,0,104,8,5,541111.9312047958,3836377.8591156006,-2479.076385498047,977622.731122583,8660269.975662231,3836400.032043457,994542.8371429443,2165067.493915558,1219964.8694433891,7660367.012023926,3836416.9597625732,13976.097106933594,696397.0010930841,1113463.560702454,0,0,0,0,0,0,0,0,0,0,0,2.6,316.6666666666667,0,0,3836338.758468628,2479.076385498047,1194307.6610565186,1459653.3972122797,3836355.686187744,13976.097106933594,871740.0431632996,1180910.3658078047,0.0,0.0,3336.0,6.0,0.0,4843.325600690905,98.0,400.7692307692308,0,5,12,490,5112
10.0.0.1,10.0.0.2,00:00:00:00:00:01,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:51,8662790.060043335,657.9866256127978,2.077852501935151,0.5771812505375419,1.500671251397609,5,13,490,5210,98.0,98.0,98.0,0.0,590.0,98.0,400.7692307692308,239.3600936619758,590,98,316.6666666666667,244.476765539977,59768.88888888889,0,104,8,5,509284.22983954934,3836377.8591156006,-2479.076385498047,956939.8521482694,8660269.975662231,3836400.032043457,994542.8371429443,2165067.493915558,1219964.8694433891,8662790.060043335,3836416.9597625732,13976.097106933594,721899.171670278,1069410.2628739527,0,0,0,0,0,0,0,0,0,0,0,2.6,316.6666666666667,0,0,3836338.758468628,2479.076385498047,1194307.6610565186,1459653.3972122797,3836355.686187744,13976.097106933594,871740.0431632996,1180910.3658078047,0.0,0.0,3336.0,6.0,0.0,4843.325600690905,98.0,400.7692307692308,0,5,13,490,5210
10.0.0.4,10.0.0.2,00:00:00:00:00:04,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:54,7464578.151702881,684.5664813401766,2.2774227363567516,0.6698302165755152,1.6075925197812366,5,12,490,4620,98.0,98.0,98.0,0.0,590.0,98.0,385.0,242.55927110708427,590,98,300.5882352941176,242.13925473809718,58631.41868512111,0,96,8,5,466536.13448143005,2870793.104171753,20.9808349609375,882591.363159593,7464555.025100708,2930434.9422454834,979924.201965332,1866138.756275177,885309.4352299394,7464557.17086792,2870835.065841675,6335.020065307617,678596.1064425382,994576.077594217,0,0,0,0,0,0,0,0,0,0,0,2.4,300.5882352941176,0,0,2870751.142501831,20.9808349609375,852974.4625091553,1067493.0317243717,2811187.267303467,6314.03923034668,852107.4056625366,1100457.6917978267,0.0,0.0,3400.0,7.0,0.0,4842.179005978093,98.0,385.0,0,5,12,490,4620
10.0.0.4,10.0.0.2,00:00:00:00:00:04,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:54,7464555.025100708,671.4398893365222,2.1434633338755695,0.6698322918361155,1.473631042039454,5,11,490,4522,98.0,98.0,98.0,0.0,590.0,98.0,385.0,242.55927110708427,590,98,300.5882352941176,242.13925473809718,58631.41868512111,0,96,8,5,497637.00167338055,2870793.104171753,20.9808349609375,903007.4522970677,7464555.025100708,2930434.9422454834,979924.201965332,1866138.756275177,885309.4352299394,4912505.149841309,2870835.065841675,6335.020065307617,491250.51498413086,837864.9381058159,0,0,0,0,0,0,0,0,0,0,0,2.4,300.5882352941176,0,0,2870751.142501831,20.9808349609375,852974.4625091553,1067493.0317243717,2811187.267303467,6314.03923034668,852107.4056625366,1100457.6917978267,0.0,0.0,3400.0,7.0,0.0,4842.179005978093,98.0,385.0,0,5,11,490,4522
10.0.0.1,10.0.0.2,00:00:00:00:00:01,ba:b6:87:c7:52:16,35490,80,6,2025-10-20 00:41:51,15102.148056030273,68599.51287435075,662.1574601771308,397.2944761062785,264.86298407085235,6,4,492,544,154.0,66.0,82.0,32.331615074619044,338.0,66.0,136.0,116.67047612828192,338,66,103.6,82.29119029397982,6771.839999999999,0,80,20,1,1678.0164506700303,7206.916809082031,14.066696166992188,2639.0198985243724,15102.148056030273,12932.062149047852,40.0543212890625,3020.4296112060547,5002.946146840226,15061.140060424805,7206.916809082031,1897.0966339111328,5020.380020141602,2266.6668941882967,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,103.6,42340,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,136.0,0,6,4,492,544
10.0.0.1,10.0.0.2,00:00:00:00:00:01,ba:b6:87:c7:52:16,35502,80,6,2025-10-20 00:41:52,22989.988327026367,46759.484376782435,434.9719476909994,260.98316861459966,173.98877907639977,6,4,486,589,148.0,66.0,81.0,30.105370506494907,383.0,66.0,147.25,136.14950422238047,383,66,107.5,94.93076424426383,9011.85,0,80,20,1,2554.443147447374,19793.033599853516,14.066696166992188,6149.912364438805,22989.988327026367,19866.943359375,47.92213439941406,4597.997665405273,7698.593831427805,22943.973541259766,19793.033599853516,419.85511779785156,7647.991180419922,8639.521098441985,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,107.5,42340,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,147.25,0,6,4,486,589
10.0.0.4,10.0.0.2,00:00:00:00:00:04,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:54,8465769.052505493,615.1833303861109,2.1262096672331023,0.7087365557443674,1.417473111488735,6,12,588,4620,98.0,98.0,98.0,0.0,590.0,98.0,362.9230769230769,245.27110950897438,590,98,279.2631578947368,237.32918335981824,56325.14127423822,0,104,8,6,497986.4148532643,2870793.104171753,20.9808349609375,865431.5790411965,8465769.052505493,2930434.9422454834,979924.201965332,1693153.8105010986,864125.8026141603,7464557.17086792,2870835.065841675,6335.020065307617,678596.1064425382,994576.077594217,0,0,0,0,0,0,0,0,0,0,0,2.1666666666666665,279.2631578947368,0,0,2870751.142501831,20.9808349609375,1136146.346728007,1162131.3999330495,2811187.267303467,6314.03923034668,868669.6688334147,1038578.4765679901,0.0,0.0,3400.0,7.0,0.0,4842.179005978093,98.0,362.9230769230769,0,6,12,588,4620
10.0.0.4,10.0.0.2,00:00:00:00:00:04,ba:b6:87:c7:52:16,0,0,1,2025-10-20 00:41:54,8465787.172317505,626.7580193074338,2.244327622849838,0.7087350387946858,1.5355925840551525,6,13,588,4718,98.0,98.0,98.0,0.0,590.0,98.0,362.9230769230769,245.27110950897438,590,98,279.2631578947368,237.32918335981824,56325.14127423822,0,104,8,6,470321.5095731947,2870793.104171753,18.11981201171875,848748.0022290695,8465769.052505493,2930434.9422454834,979924.201965332,1693153.8105010986,864125.8026141603,8465766.191482544,2870835.065841675,6335.020065307617,705480.5159568787,956399.6353530369,0,0,0,0,0,0,0,0,0,0,0,2.1666666666666665,279.2631578947368,0,0,2870751.142501831,20.9808349609375,1136146.346728007,1162131.3999330495,2811187.267303467,6314.03923034668,868669.6688334147,1038578.4765679901,0.0,0.0,3400.0,7.0,0.0,4842.179005978093,98.0,362.9230769230769,0,6,13,588,4718
